epoch,train_loss,test_acc@1,test_acc@5
1,13.55135190486908,35.089999999999996,84.78999999999999
2,12.483990788459778,35.42,85.92999999999999
3,12.074056565761566,37.82,87.45
4,11.652220666408539,40.48,89.58
5,11.191531479358673,43.25,90.89
6,10.757897913455963,45.07,91.58
7,10.4102241396904,46.75,92.15
8,9.95388525724411,47.82,92.42
9,9.48562079668045,49.65,93.02
10,9.10991233587265,50.79,93.73
11,8.724490463733673,51.800000000000004,93.65
12,8.353081732988358,52.49,94.45
13,7.9833953976631165,53.81,94.74000000000001
14,7.610431760549545,54.65,94.84
15,7.355570375919342,55.36,94.66
16,6.996936649084091,56.61000000000001,95.11
17,6.727082520723343,57.86,95.7
18,6.445211976766586,58.67,95.89
19,6.3213174641132355,59.040000000000006,96.21
20,6.042511194944382,60.099999999999994,96.09
